S,L_median,L_PI,stab
5,5.0,3.0,0.9476143884311011
6,7.0,4.0,0.9066971585230282
7,9.0,6.0,0.8704162649163748
8,11.0,7.0,0.8413663678903553
9,14.0,9.0,0.8169946361996557
10,16.0,11.0,0.7959777951605801
11,19.0,14.0,0.7751082305412771
12,21.0,15.0,0.7582013292453168
13,24.0,18.0,0.7407065142549698
14,26.0,22.0,0.726916294311847
15,31.0,25.159999999999997,0.7117548019822618
16,32.5,27.0,0.6985722238124027
17,36.0,31.0,0.6870044498931059
18,40.0,35.0,0.6766027454066449
19,44.0,39.15999999999997,0.6652557836593675
20,49.0,44.319999999999965,0.6549556353990451
21,52.0,48.0,0.6446381956939056
22,58.0,53.0,0.6357896943114986
23,59.0,54.0,0.6270008794139191
24,65.0,61.0,0.6190274158946276
25,69.0,66.16,0.6104959193625568
26,76.0,73.16,0.6028905788138273
27,79.0,78.0,0.595649711020373
28,88.0,87.0,0.5885821171062666
29,93.0,91.0,0.58166998767439
30,97.0,96.0,0.5752994163425794
31,104.0,104.15999999999997,0.5689214453636279
32,108.5,114.0,0.5630908480168823
33,118.0,124.0,0.5571059584606568
34,120.0,130.16,0.5513390194504922
35,124.0,127.0,0.5461473846995081
36,134.0,148.0,0.5407713735966443
37,135.0,156.0,0.535460107015637
38,148.0,150.0,0.5306660585572838
39,153.0,174.0,0.5256438075352128
40,155.5,168.15999999999997,0.5209697844339346
41,160.5,172.47999999999993,0.5163749073316742
42,170.5,185.16,0.5120375256280496
43,182.5,194.0,0.5078135741651842
44,187.5,215.15999999999997,0.5035117651195177
45,198.0,225.31999999999996,0.49934101107134915
46,214.0,236.15999999999997,0.4954717445223117
47,211.0,242.15999999999997,0.49160989649627046
48,216.5,233.0,0.4876230356034788
49,230.0,259.6399999999999,0.4839694733944797
50,237.0,276.31999999999994,0.48039286058685426
51,246.5,276.31999999999994,0.4768974044105634
52,259.0,292.0,0.4735259451443924
53,258.5,308.15999999999997,0.47004948523889856
54,267.0,325.4799999999999,0.46683325447770097
55,276.0,337.15999999999997,0.463590079542673
56,282.0,328.0,0.46037984102162977
57,301.0,341.15999999999997,0.4573432726125363
58,313.0,381.15999999999997,0.4543688907665267
59,323.5,384.0,0.45130973456339074
60,334.0,363.15999999999997,0.44843956402494917
61,338.0,441.6399999999999,0.44562649999969506
62,362.0,426.0,0.44285959503391487
63,375.5,460.0,0.4401498916671848
64,377.0,481.15999999999997,0.43738162532628866
65,365.0,430.31999999999994,0.4348404624106006
66,389.0,493.15999999999997,0.4322570258996594
67,398.0,506.0,0.42967511722941465
68,419.0,504.0,0.4272529792946165
69,441.0,521.3199999999999,0.42480927401491986
70,443.5,500.15999999999997,0.42238190909092316
71,447.5,539.3199999999999,0.4200246917623981
72,469.5,587.6399999999999,0.41771556345052197
73,483.5,587.4799999999999,0.41545968768154345
74,507.0,574.3199999999999,0.4132041334403737
75,507.5,598.4799999999999,0.4110044729675012
76,504.0,592.3199999999999,0.4088222824322247
77,531.5,646.3199999999999,0.40670123487528986
78,533.5,627.0,0.4046031963480063
79,551.0,693.48,0.4025219123111193
80,589.0,702.0,0.40051870415994456
81,591.0,709.4799999999999,0.39850707612041925
82,602.0,751.4799999999998,0.3965700555137481
83,578.5,751.7999999999998,0.3946109474260833
84,613.0,748.0,0.3926648594343463
85,632.5,776.16,0.3908321442071097
86,618.0,763.1599999999999,0.38895771963097286
87,661.5,824.4799999999998,0.387174860853807
88,659.5,835.48,0.38532831535952644
89,712.5,843.1599999999999,0.3835897280676366
90,699.0,828.3199999999998,0.3818353147094047
91,720.0,897.16,0.38011490689460853
92,750.0,955.16,0.3783834890413617
93,762.0,896.4399999999998,0.37672945412418196
94,763.0,974.1599999999999,0.3750660213060028
95,787.5,989.8,0.37339693461127293
96,792.5,1022.6399999999999,0.371819582580634
97,837.0,1070.0,0.3702093186020682
98,874.0,1075.1599999999999,0.36870650572354097
99,852.5,1065.9599999999998,0.3671234875146274
100,850.5,1093.7999999999997,0.36559889672121076
101,869.0,1155.8,0.3640821829742951
102,894.0,1095.96,0.3625895333113554
103,941.0,1130.1599999999999,0.3611206437405025
104,964.0,1243.1599999999999,0.3596702149871645
105,952.0,1239.3199999999997,0.3582286841611484
106,979.0,1281.48,0.35682125465582953
107,961.5,1189.32,0.3554259618594958
108,975.0,1304.44,0.3540465493025156
109,1002.5,1258.4399999999996,0.35266460448480114
110,1051.5,1232.7999999999997,0.35131553821063777
111,1046.5,1371.9599999999996,0.34997422326363303
112,1085.5,1329.4399999999998,0.34868683912341925
113,1076.5,1355.32,0.34735410983308584
114,1098.0,1398.6,0.34607146105653125
115,1160.0,1395.6399999999999,0.34480744111726275
116,1178.5,1532.9599999999996,0.3435429081840294
117,1179.0,1462.6399999999999,0.3422946279055241
118,1140.0,1540.48,0.341063967410476
119,1182.5,1616.7999999999997,0.3398368005339301
120,1227.5,1588.32,0.3386075116743944
121,1264.5,1630.1599999999999,0.3374444432702444
122,1279.0,1634.2399999999996,0.3362725024142654
123,1315.0,1579.9599999999998,0.33511672734577663
124,1252.0,1715.12,0.3339481653723153
125,1371.0,1685.8799999999997,0.3328090924099318
126,1327.0,1738.8,0.33166714291247007
127,1393.0,1737.2799999999997,0.3305461236744811
128,1462.5,1835.3199999999997,0.3294383216030347
129,1413.5,1782.7999999999997,0.3283474208357074
130,1327.5,1758.2799999999997,0.3272645523013637
131,1464.0,1831.12,0.3261932208597641
132,1464.5,1835.4399999999996,0.3251258422808055
133,1435.0,1879.3199999999997,0.32406781588991745
134,1531.0,1955.4799999999996,0.3230287801028748
135,1506.5,1976.3199999999997,0.3220012614902216
136,1535.0,1967.3199999999997,0.32098397503020953
137,1584.5,1985.12,0.3199630827993042
138,1595.0,2046.0799999999995,0.31896764569860514
139,1637.5,2039.9199999999996,0.3179712637780344
140,1555.5,1995.2399999999993,0.31698166534739125
141,1708.5,2265.3199999999997,0.3160092530532449
142,1774.0,2272.3199999999997,0.31504380667946885
143,1624.5,2179.7999999999997,0.3140863558431109
144,1708.0,2186.0,0.3131403317920035
145,1729.5,2322.16,0.31219974643844955
146,1794.5,2460.16,0.31127341855407437
147,1762.0,2329.92,0.31035561197703543
148,1822.5,2369.08,0.3094439964992929
149,1805.0,2324.5599999999995,0.30852948144518716
150,1847.5,2348.5999999999995,0.3076395185480565
151,1888.5,2360.6399999999994,0.3067485859599691
152,1843.5,2566.1999999999994,0.30585699428164465
153,1971.5,2608.3199999999997,0.3049895469603044
154,2081.0,2596.0799999999995,0.30412670619529353
155,2014.0,2643.64,0.30326836805217994
156,2013.5,2671.3999999999996,0.30241300791441716
157,2032.5,2608.5199999999995,0.30156304259283984
158,2036.5,2781.5599999999995,0.30072861759313685
159,2123.0,2715.6399999999994,0.29990886986172516
160,2085.0,2812.3199999999997,0.29908168918849215
161,2196.0,2907.719999999999,0.29825840401838977
162,2144.5,2736.68,0.29745638386448664
163,2223.5,2825.1999999999994,0.2966589124948216
164,2164.0,2922.44,0.29585086417288553
165,2272.5,3004.3599999999997,0.2950667043709197
166,2280.0,3098.16,0.2942751137003388
167,2408.5,2867.2,0.2934977967884367
168,2309.0,2958.8799999999983,0.2927324643281458
169,2310.5,3182.5999999999995,0.2919706140093607
170,2307.0,2918.12,0.2912056411609411
171,2410.5,3256.72,0.29046441940343054
172,2366.0,3202.12,0.2897113014848105
173,2521.0,3259.5599999999995,0.2889759535966386
174,2482.0,3282.6399999999994,0.28823553515723427
175,2605.0,3348.7999999999997,0.2875022406422825
176,2583.5,3396.6399999999994,0.2867754285487187
177,2533.5,3317.3599999999988,0.28606216237605486
178,2628.0,3360.96,0.2853529447075165
179,2565.0,3412.3199999999997,0.2846470109363432
180,2742.5,3628.7199999999984,0.2839395192855412
181,2672.0,3397.7999999999993,0.2832439132547565
182,2674.5,3527.3199999999997,0.2825529526272498
183,2789.5,3728.12,0.2818627602158512
184,2753.0,3710.0799999999995,0.28118250128821193
185,2851.5,3845.7999999999997,0.2805111576058374
186,2915.0,3739.6799999999994,0.2798349368550134
187,2903.5,3935.0399999999995,0.2791703086789965
188,2892.5,4038.4799999999996,0.2785089021177171
189,2831.0,3843.5599999999995,0.27784637446758914
190,3086.0,3897.56,0.27719518061667336
191,2880.5,3900.4399999999996,0.27654816422221884
192,3062.0,3996.2399999999993,0.27590433583684476
193,3032.5,3947.9599999999996,0.27526723031399175
194,3045.5,4159.24,0.27463757157177077
195,3217.0,4190.279999999999,0.2740089453447474
196,3192.5,4319.5599999999995,0.2733788608130953
197,3162.0,4328.959999999999,0.2727531001104284
198,3246.0,4159.32,0.2721465881116182
199,3271.0,4313.119999999999,0.271530714491624
200,3174.5,4584.5599999999995,0.27091956754733804
201,3248.5,4387.08,0.2703144711619795
202,3454.0,4546.679999999999,0.26971151655884207
203,3422.5,4521.08,0.26911951967270265
204,3480.5,4518.08,0.2685267396927093
205,3522.0,4870.639999999999,0.2679377463349945
206,3457.5,4387.16,0.26735233625575006
207,3527.5,4660.959999999999,0.26677259930271724
208,3561.5,4964.56,0.2661940588152474
209,3595.5,4767.6399999999985,0.265623700301459
210,3538.0,4846.599999999999,0.2650560756583047
211,3799.0,5056.24,0.264493175306142
212,3739.5,4646.719999999999,0.2639314715896177
213,3524.5,5136.6399999999985,0.26337215060509406
214,3575.5,4778.719999999999,0.26281524917038307
215,3661.5,5175.08,0.2622629971967729
216,3820.0,5455.48,0.2617148104130964
217,3624.5,5057.639999999999,0.2611732638487912
218,3915.0,5135.959999999999,0.26063326661969394
219,3936.0,5157.959999999999,0.26009517016990125
220,3933.5,5708.919999999999,0.2595602265285189
221,4003.0,5173.92,0.2590259907574947
222,3974.5,5452.839999999999,0.2585015302195998
223,3956.0,5618.519999999999,0.25797914611527145
224,4037.5,5488.799999999999,0.2574529791569262
225,4165.0,5414.92,0.2569369235848909
226,4243.5,5506.2,0.2564244944331102
227,3954.0,5224.0,0.25591348613372833
228,4187.5,5706.599999999999,0.25540275596092304
229,4357.0,5685.159999999999,0.25489902449479934
230,4404.5,6018.4,0.25439244149138945
231,4260.0,5516.039999999999,0.2538993246787634
232,4397.5,5839.5199999999995,0.25339482527531615
233,4293.0,5654.96,0.25290523749880833
234,4439.5,5744.5999999999985,0.25241817485721724
235,4570.5,6680.6,0.25192968377600644
236,4467.0,6057.359999999999,0.25144301651820417
237,4736.0,5892.839999999999,0.2509593320585785
238,4491.5,6108.92,0.25047939417710374
239,4714.0,5955.959999999999,0.2500043776190091
240,4768.5,6390.44,0.2495312966593097
241,4603.5,6182.399999999999,0.2490603902309234
242,4550.0,6508.479999999999,0.24859131341698631
243,4663.0,6361.5199999999995,0.2481292796287686
244,5040.5,6713.039999999999,0.2476635840116508
245,4885.0,6369.88,0.24720629239162242
246,5102.0,6759.279999999999,0.24674240146201254
247,4743.0,6626.919999999998,0.246290560686568
248,4830.0,6583.199999999998,0.24583788650816954
249,4989.5,6858.279999999998,0.2453899332605919
250,4973.0,6443.399999999999,0.2449391497927088
251,5261.0,7048.92,0.24449346079304227
252,4920.0,7133.759999999999,0.24405013826423952
253,5165.5,6804.5999999999985,0.2436107275531542
254,5217.0,7087.040000000001,0.24317528114579373
255,5303.5,7565.639999999998,0.24273577219337242
256,5566.5,7449.039999999999,0.24230132973310584
257,5458.0,6957.279999999999,0.2418724863361781
258,5270.5,7160.279999999998,0.24144202288910532
259,5392.0,7092.28,0.24102206239828636
260,5255.0,7214.5599999999995,0.24059271628915826
261,5575.0,7493.4,0.2401730286336441
262,5718.0,7584.639999999999,0.23975141856620252
263,5438.5,7616.199999999999,0.23933762070469802
264,5518.0,7646.96,0.23891951620308394
265,5637.5,7514.759999999999,0.23850720267799108
266,5473.0,7416.48,0.23809676060747745
267,5624.0,8375.24,0.2376885271815211
268,5692.5,7637.639999999999,0.23728075815758431
269,5829.5,7979.999999999996,0.2368773145645289
270,5674.5,7537.879999999999,0.23647226698974969
271,5975.5,8328.199999999997,0.23607498408541547
272,5846.5,8434.88,0.23567632840947417
273,5792.0,7757.6399999999985,0.23527974082725103
274,5803.0,7908.16,0.23488505067752546
275,6232.0,8417.8,0.23449625041076977
276,6330.5,8385.880000000001,0.23410299723793687
277,6359.0,8458.64,0.23371583725503092
278,6146.5,8544.039999999999,0.2333261887228606
279,6402.5,8622.559999999998,0.2329444698301886
280,6324.0,8607.039999999997,0.23255978984332118
281,6251.0,8409.0,0.23218254992985143
282,6349.0,8410.56,0.2318010447148339
283,6594.0,9481.8,0.2314245947388398
284,6895.5,9736.279999999999,0.2310484565788505
285,6941.5,8977.96,0.23067870476801566
286,6365.5,8184.759999999999,0.2303048442882157
287,6666.0,8632.52,0.22993593596647022
288,6414.5,9324.48,0.22956834723084038
289,6849.0,9220.199999999997,0.2292040113826133
290,6638.5,9230.119999999999,0.22883751201805752
291,6830.0,8604.08,0.2284759524632236
292,6809.0,9186.839999999998,0.22811517762321928
293,6980.5,9661.72,0.22775653835931647
294,6903.0,9449.279999999999,0.22739944019654215
295,7259.5,9708.52,0.22704409520596275
296,6796.0,8987.56,0.22668700214323714
297,7273.5,9573.919999999998,0.22633723443103004
298,6897.0,9285.88,0.22598556384407598
299,6994.5,9918.96,0.22563862585311292
300,7249.0,9915.279999999999,0.22528836948932499
301,7403.0,9578.399999999998,0.2249452910504394
302,7301.5,9779.879999999997,0.22459683180952184
303,7522.5,10329.839999999997,0.22425559342837947
304,7257.5,9945.2,0.2239151999322813
305,7449.0,10628.119999999999,0.22357561349541677
306,7676.5,10373.999999999998,0.2232384228253332
307,7491.0,10191.599999999999,0.22290481670806572
308,7609.5,10411.599999999999,0.22256612825626848
309,7761.5,10379.6,0.2222349783273599
310,7653.0,11156.239999999998,0.22190125637114774
311,7848.5,10357.08,0.22157451399108893
312,7729.5,10070.759999999998,0.22124128822464073
313,8039.0,10727.64,0.22091672042816324
314,7999.0,10433.4,0.2205892915650946
315,7897.0,10599.24,0.22026727648739375
316,7980.0,11112.08,0.21994002552998249
317,7919.0,11211.679999999998,0.21962237472844695
318,8135.0,11247.72,0.21929876030506754
319,7994.0,11101.679999999997,0.21898247959404094
320,8358.5,11144.999999999998,0.21866426155886326
321,8078.0,11371.679999999998,0.2183474733238888
322,8004.0,11428.639999999992,0.2180337094409874
323,8533.5,11787.239999999998,0.21772195090464647
324,8397.0,12718.48,0.21740919215950213
325,8385.0,11593.239999999998,0.21709905784023897
326,8676.0,12574.48,0.21678816387603322
327,8262.0,11395.48,0.21648070826145324
328,8643.5,11468.599999999999,0.21617313541476127
329,8722.5,11856.68,0.21587151127449208
330,8744.0,12379.039999999999,0.21556306203532227
331,8816.0,12034.8,0.21526364531757267
332,8820.5,12182.639999999998,0.21496100592795508
333,8989.0,11930.8,0.2146604005920115
334,8621.5,12734.399999999998,0.21436315971556483
335,9122.0,12652.799999999996,0.21406635575192237
336,8963.0,12238.279999999999,0.2137687492556917
337,9373.5,12037.96,0.21347288317722082
338,9222.5,12023.159999999998,0.21317968438932555
339,9320.0,11929.519999999999,0.21288710166094896
340,9231.0,12013.279999999999,0.21259482368801186
341,9085.5,12604.639999999998,0.21230612707848504
342,9112.0,12872.919999999998,0.21201563766117124
343,9408.0,12301.919999999998,0.2117290850212331
344,9705.0,12958.799999999997,0.211442213176308
345,9327.5,12632.479999999996,0.21115804434058993
346,9277.5,12762.079999999998,0.21087085443415743
347,9272.5,12903.48,0.2105909497581991
348,9975.0,13467.16,0.21030649173727656
349,9922.0,13231.32,0.21002683496073715
350,9710.5,13757.8,0.2097457108135975
351,9661.5,12766.439999999999,0.20946800843151367
352,9755.0,13783.32,0.20918932423441197
353,10501.0,13862.879999999997,0.2089148791706886
354,9776.0,13111.439999999999,0.20863800872381633
355,9962.5,13898.919999999996,0.20836536983410836
356,9912.5,13254.119999999999,0.20809103899600312
357,10044.0,14319.399999999996,0.20782039958916454
358,10173.0,13912.800000000001,0.2075471579511444
359,10262.0,14349.44,0.20727667687246498
360,10456.5,13912.039999999997,0.20700793547489668
361,10227.5,13626.0,0.20674368625220027
362,10586.0,14329.32,0.206474589155119
363,10361.0,14529.039999999997,0.20620863679421766
364,10594.0,14134.48,0.20594507448623284
365,10641.5,15354.76,0.2056808948434632
366,10417.5,13505.439999999999,0.205417224258285
367,10735.0,14418.159999999998,0.2051562456435453
368,10979.0,14717.88,0.20489545497355197
369,11140.0,15377.119999999995,0.2046362091531415
370,10954.5,15387.68,0.20437740827271955
371,11027.5,14741.439999999999,0.20411991988183445
372,11596.0,15248.439999999999,0.20386262344355768
373,11264.5,15209.919999999998,0.20360683957269748
374,11480.0,16101.68,0.2033510096930697
375,11232.0,15823.519999999999,0.2030984678036501
376,11251.0,14628.72,0.20284616624261617
377,11472.0,15936.52,0.20259270584728237
378,11473.0,15612.199999999997,0.20234326926886811
379,11577.5,16473.96,0.202092052528805
380,11652.5,16107.84,0.2018435351392208
381,11689.0,15708.279999999995,0.20159462841166043
382,12325.5,16369.439999999999,0.20134744841863259
383,11924.5,16083.68,0.2011020401299706
384,11480.0,16145.079999999998,0.20085548256893956
385,11646.5,15081.959999999995,0.20061217011776622
386,11884.0,16402.4,0.20036850731460207
387,12313.0,16451.6,0.20012652313087403
388,11417.5,16601.2,0.19988346775452176
389,12312.5,15930.96,0.1996444064197153
390,12199.0,16434.52,0.19940193098598546
391,12368.5,16354.039999999997,0.1991625592028295
392,12574.0,18464.08,0.19892457634364435
393,12624.5,18261.92,0.19868704750107816
394,12249.0,17038.72,0.1984498871032182
395,12350.5,15648.4,0.19821524691000808
396,12543.5,17071.919999999995,0.19797997976325912
397,13051.0,16961.479999999996,0.1977459154112643
398,12745.0,16688.52,0.19751219649071516
399,12322.0,17512.0,0.1972798147740005
400,12725.5,17417.44,0.19704810777329942
401,12497.0,17245.479999999996,0.19681811017587525
402,12793.0,17063.559999999994,0.19658745932026891
403,12770.0,17639.12,0.19635861231261015
404,13299.0,18241.839999999997,0.19613030676190304
405,12993.5,18094.239999999994,0.19590327186786655
406,13013.5,18688.6,0.1956752282742573
407,13103.5,18542.28,0.19545037761376824
408,12728.5,17545.839999999997,0.19522402635509348
409,14251.5,18609.64,0.1949994649727999
410,13512.0,18512.56,0.19477700490594643
411,13692.5,19047.28,0.19455436054048988
412,13325.0,18269.559999999998,0.19433153079181112
413,13670.0,18079.800000000003,0.1941096094282187
414,13905.5,19430.319999999992,0.19388960461705607
415,13677.0,18743.879999999997,0.19366904802717474
416,13847.0,18565.199999999997,0.1934510726622142
417,14077.0,19669.399999999998,0.19323223101602122
418,13020.0,19285.52,0.19301487820859578
419,14264.0,19079.12,0.1927988079198697
420,13780.0,19111.519999999997,0.19258095634282132
421,13701.0,19599.72,0.19236645693893503
422,13942.0,18584.399999999998,0.1921516533417453
423,14075.0,20052.559999999998,0.19193912785272263
424,14400.0,20993.96,0.1917245646664513
425,14372.5,18966.64,0.19151349315578126
426,14010.5,19959.72,0.19129961145268007
427,14578.0,19746.079999999998,0.19108929232909902
428,14409.0,19510.399999999998,0.1908788110996122
429,14181.5,20749.64,0.1906692238635878
430,14333.0,20344.64,0.19046028515433208
431,15018.0,19715.439999999995,0.19025158531574543
432,15016.5,20291.04,0.19004488109895637
433,15579.5,21400.159999999996,0.18983739669877128
434,14880.0,19882.72,0.18963050830138248
435,14485.0,19048.28,0.18942623006099216
436,14702.5,20788.28,0.18922025057597003
437,14687.5,21442.319999999996,0.1890165319539154
438,15567.5,22101.76,0.18881135163486823
439,15094.5,21237.039999999994,0.18861000448408205
440,15004.0,20913.36,0.18840636308858924
441,15295.5,21323.76,0.18820574678993404
442,15872.5,20605.559999999998,0.1880049392445808
443,15660.0,21511.519999999993,0.1878045764334831
444,16332.0,21388.839999999997,0.18760429364444717
445,15018.5,20876.319999999996,0.18740529936454345
446,15722.5,23640.559999999998,0.18720719431735106
447,15721.5,20931.759999999995,0.1870085417239888
448,16348.5,22122.6,0.18681221646435758
449,16841.5,23266.92,0.186614193862917
450,15932.0,21510.52,0.1864203223484558
451,15590.0,21337.6,0.18622464569945874
452,15810.0,22552.959999999995,0.18602927458213328
453,15388.5,23516.199999999997,0.1858354444058385
454,16287.0,22387.8,0.18564141234751727
455,16607.5,22629.799999999996,0.1854494639070712
456,16590.0,21232.559999999998,0.18525681004442038
457,16570.0,22991.96,0.18506560332806282
458,16869.0,23032.92,0.18487375728712332
459,16388.5,22283.32,0.1846834945376521
460,17049.0,22690.92,0.18449399349710285
461,16608.0,23567.96,0.1843050759321995
462,16875.0,23257.959999999995,0.18411544937703378
463,17400.5,24614.92,0.18392694601979212
464,16891.0,22164.28,0.18374098120728086
465,16752.0,24070.479999999996,0.1835532157155482
466,17075.0,22589.559999999998,0.18336682075789776
467,16813.5,24918.440000000002,0.1831815243375935
468,17526.5,22654.719999999994,0.18299615705524236
469,18090.5,26079.56,0.18281062388135488
470,17606.0,24314.28,0.18262679836786627
471,16977.0,22811.959999999992,0.18244337534209457
472,17429.0,22668.36,0.18225964464388716
473,18605.0,24277.96,0.18207816509794048
474,16526.5,24579.96,0.1818954007217323
475,17147.0,25733.44,0.18171465370882206
476,17951.0,23933.799999999996,0.18153360570502716
477,18454.5,25061.04,0.1813541259905647
478,17709.0,24401.199999999986,0.18117384289816013
479,18969.5,26710.8,0.1809948972326364
480,18648.5,25486.199999999997,0.1808157662112235
481,18422.5,24653.039999999994,0.180636960506797
482,18659.5,26777.239999999987,0.18046055964836058
483,17645.0,25118.6,0.18028305904497813
484,19220.5,24216.799999999996,0.18010691636735648
485,18506.5,25240.359999999993,0.17993069773105722
486,19409.0,25714.96,0.1797554426091251
487,19352.5,26449.92,0.17958045713781862
488,19632.5,24806.319999999992,0.1794062707617235
489,18930.5,25654.279999999995,0.17923183404413656
490,18869.0,26085.519999999997,0.17905762341496484
491,18353.5,26236.08,0.178885751766637
492,19542.5,27189.879999999997,0.17871293757182283
493,19619.0,27010.28,0.17854057297280745
494,19201.5,26123.47999999999,0.17836902171815985
495,19376.5,25863.239999999998,0.17819841574670453
496,19439.5,26373.239999999998,0.17802795804009233
497,20192.5,27323.200000000004,0.1778584732946217
498,19989.5,28096.56,0.17768846393284637
499,19240.5,28262.12,0.17751954592266941
500,20663.5,28478.519999999997,0.17735127674964496
501,19109.0,28496.879999999994,0.17718300664797523
502,19034.5,26349.480000000003,0.17701527420357732
503,19440.0,27525.960000000003,0.17684803397398427
504,18980.5,27258.879999999997,0.17668195207728382
505,21003.5,28533.480000000003,0.17651562521655415
506,19847.5,28094.760000000002,0.1763498327361033
507,20329.0,27906.159999999996,0.1761845040215316
508,19735.0,26443.759999999995,0.1760194499591732
509,21139.0,27758.719999999998,0.17585516734013598
510,21012.5,29912.879999999997,0.17569071412130127
511,20301.5,27880.160000000003,0.17552893625287513
